Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Garrulus glandarius (Linnaeus, 1758);Garrulus glandarius;Geai des chênes;Commun
A;Pica pica (Linnaeus, 1758);Pica pica;Pie bavarde;Commun
A;Nucifraga caryocatactes (Linnaeus, 1758);Nucifraga caryocatactes;Cassenoix moucheté;Rare
A;Pyrrhocorax pyrrhocorax (Linnaeus, 1758);Pyrrhocorax pyrrhocorax;Crave à bec rouge;Rare
A;Pyrrhocorax graculus (Linnaeus, 1766);Pyrrhocorax graculus;Chocard à bec jaune;Commun
A;Coloeus monedula (Linnaeus, 1758);Coloeus monedula;Choucas des tours;Commun
A;Coloeus dauuricus (Pallas, 1776);Coloeus dauuricus;Choucas de Daourie;Legendaire
A;Corvus frugilegus Linnaeus, 1758;Corvus frugilegus;Corbeau freux;Commun
A;Corvus corone Linnaeus, 1758;Corvus corone;Corneille noire;Commun
A;Corvus cornix Linnaeus, 1758;Corvus cornix;Corneille mantelée;Epique
A;Corvus corax Linnaeus, 1758;Corvus corax;Grand Corbeau;Commun
A;Bombycilla garrulus (Linnaeus, 1758);Bombycilla garrulus;Jaseur boréal ;Rare
A;Periparus ater (Linnaeus, 1758);Periparus ater;Mésange noire;Commun
A;Lophophanes cristatus (Linnaeus, 1758);Lophophanes cristatus;Mésange huppée;Commun
A;Poecile palustris (Linnaeus, 1758);Poecile palustris;Mésange nonnette;Commun
A;Poecile montanus (Conrad von Baldenstein, 1827);Poecile montanus;Mésange boréale;Commun
A;Cyanistes caeruleus (Linnaeus, 1758);Cyanistes caeruleus;Mésange bleue;Commun
A;Parus major Linnaeus, 1758;Parus major;Mésange charbonnière;Commun
A;Remiz pendulinus (Linnaeus, 1758);Remiz pendulinus;Rémiz penduline;Rare
A;Panurus biarmicus (Linnaeus, 1758);Panurus biarmicus;Panure à moustaches;Rare
A;Ammomanes cinctura (Gould, 1839);Ammomanes cinctura;Ammomane élégante;Legendaire
A;Lullula arborea (Linnaeus, 1758);Lullula arborea;Alouette lulu;Commun
A;Alauda arvensis Linnaeus, 1758;Alauda arvensis;Alouette des champs;Commun
A;Galerida theklae Brehm, AE, 1857;Galerida theklae;Cochevis de Thékla;Rare
A;Galerida cristata (Linnaeus, 1758);Galerida cristata;Cochevis huppé;Commun
A;Eremophila alpestris (Linnaeus, 1758);Eremophila alpestris;Alouette haussecol;Rare
